model,correlation,pvalue,predictor,feature
SVR-RBF,0.4586392128819148,2.5939555727408695e-13,Accessibility,relative_grammaticality_with_eve
Linear,0.2417504577423547,0.00021440976003889528,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.28943168191746804,8.14286135459108e-06,Accessibility,relative_grammaticality_with_eve
Linear,0.27779410217881434,1.998758611084233e-05,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.44600589529959506,1.3611746718015616e-12,Accessibility,relative_grammaticality_with_eve
Linear,0.34224164465943013,1.0843058856928204e-07,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4274895521356027,1.3704525725372496e-11,Accessibility,relative_grammaticality_with_eve
Linear,0.36785820469495556,9.538943538244562e-09,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4928799841800029,2.0271246090166333e-15,Accessibility,relative_grammaticality_with_eve
Linear,0.2846575808173526,1.2147307948472709e-05,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.48773114934569867,4.354443842485404e-15,Accessibility,relative_grammaticality_with_eve
Linear,0.35037588116314305,4.7939546338080706e-08,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4111843557615104,8.507829704265999e-11,Accessibility,relative_grammaticality_with_eve
Linear,0.2610861673818539,6.363499591154699e-05,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.39375140710230594,6.521270102745198e-10,Accessibility,relative_grammaticality_with_eve
Linear,0.2598341111720203,6.919284703566436e-05,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4293259544413043,1.0967034367374356e-11,Accessibility,relative_grammaticality_with_eve
Linear,0.3307152507265505,3.021508684634741e-07,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4329076126512238,7.073874271673591e-12,Accessibility,relative_grammaticality_with_eve
Linear,0.3461595922832719,7.58069143282061e-08,Accessibility,relative_grammaticality_with_eve
SVR-RBF,0.4468892982590693,1.2148685885057255e-12,Accessibility,relative_grammaticality_with_eve
Linear,0.5031254037527013,3.6728622591376464e-16,Accessibility,grammaticality
SVR-RBF,0.5942785666424263,2.373666802086818e-23,Accessibility,grammaticality
Linear,0.4868395656862008,4.9644086689319675e-15,Accessibility,grammaticality
SVR-RBF,0.582579391937846,3.293048166381677e-22,Accessibility,grammaticality
Linear,0.4385536425101178,3.5066400879274845e-12,Accessibility,grammaticality
